,1
492,444.8234211206436
493,418.23676604032516
494,500.2694815993309
495,508.6313329935074
496,502.2311266064644
497,495.10391795635223
498,443.22260105609894
499,460.74664384126663
500,411.04881685972214
501,411.73992651700974
502,538.6558075547218
503,479.61811846494675
504,381.36428993940353
505,570.6654672622681
506,394.79285728931427
507,449.6650829911232
508,331.7403303384781
509,506.025141954422
510,446.24586802721024
511,602.0790555477142
512,464.9847750067711
513,394.4531633257866
514,403.95942509174347
515,518.0778465867043
516,475.29229921102524
517,429.90510964393616
518,536.9191246032715
519,465.49748384952545
520,485.06524896621704
521,400.39956098794937
522,476.0224349498749
523,354.97421711683273
524,464.5986169576645
525,295.0169641971588
526,638.9610578417778
527,520.0093889832497
528,419.2762036919594
529,582.7743111252785
530,345.03864365816116
531,437.98905819654465
532,453.72863125801086
533,345.5664320588112
534,485.1396087408066
535,480.9659795165062
536,479.73445332050323
537,577.2601384520531
538,490.1634873151779
539,629.983194231987
540,475.7399231791496
541,508.04724740982056
542,517.7338654398918
543,466.0276588201523
544,468.9990440607071
545,399.4869667291641
546,562.9171054363251
547,337.67418825626373
548,365.88100069761276
549,536.1764888763428
550,440.76599621772766
551,536.3293162584305
552,629.1308125853539
553,393.3457868695259
554,417.08817797899246
555,369.7563271522522
556,515.0030980706215
557,394.5540614128113
558,493.6860679388046
559,290.3081901073456
560,644.9597992897034
561,329.40697568655014
562,577.1630335450172
563,317.1463214159012
564,445.5427745580673
565,438.928130030632
566,360.89093565940857
567,523.5193204879761
568,467.62346237897873
569,349.2399752140045
570,369.71663492918015
571,468.8239542245865
572,376.2998197078705
573,419.9166809916496
574,594.874335706234
575,435.341056227684
576,428.5913438796997
577,363.11093413829803
578,367.10331535339355
579,492.49484503269196
580,405.4922158718109
581,472.33442866802216
582,398.6980595588684
583,397.76674991846085
584,340.0108211636543
585,393.4308947920799
586,505.3643009662628
587,450.2828302383423
588,577.2057463526726
589,556.8442788124084
590,366.75522953271866
591,522.3307372927666
592,379.1469143629074
593,365.2563559412956
594,416.01734733581543
595,559.6262819766998
596,366.295317530632
597,468.2129167318344
598,245.65261387825012
599,513.3397732973099
600,555.7507053017616
601,533.3305202126503
602,426.8034991621971
603,399.96250063180923
604,354.24922424554825
605,498.33686739206314
606,483.71330547332764
607,389.1476511955261
608,442.63642370700836
609,572.7886679172516
610,508.66570246219635
611,615.2535082101822
612,524.2604823112488
613,467.3971012830734
614,455.1957062482834
615,343.56545799970627
616,480.72345942258835
617,460.55851924419403
618,492.24094128608704
619,498.1931919455528
620,312.43516731262207
621,525.9513339996338
622,405.2234147787094
623,607.4730190634727
624,686.013868033886
625,389.3078551888466
626,347.7128954529762
627,471.0893685221672
628,557.5286309719086
629,573.1978321671486
630,438.56079864501953
631,319.6594287157059
632,498.7275211215019
633,535.1157084107399
634,537.1584537029266
635,367.96642220020294
636,524.9837987422943
637,455.6897518634796
638,443.0690465569496
639,499.8220237493515
640,273.484914124012
641,523.9608728289604
642,491.44434809684753
643,482.8200150132179
644,406.26451045274734
645,602.1008672118187
646,426.8974680900574
647,545.8117800354958
648,604.9441142678261
649,388.00700718164444
650,467.3340433239937
651,456.53603810071945
652,453.6965574622154
653,589.3158034682274
654,363.56639325618744
655,556.2004313468933
656,427.088818192482
657,425.93763852119446
658,466.7860221862793
659,371.24447697401047
660,441.5319788455963
661,533.4616044163704
662,541.8473428487778
663,527.264000415802
664,464.33098524808884
665,510.06226325035095
666,488.4943903684616
667,360.8471470475197
668,490.5537267923355
669,384.32318007946014
670,458.3533946275711
671,399.7502227425575
672,481.52233386039734
673,406.4166947007179
674,454.7271755337715
675,342.2977782487869
676,518.5671586990356
677,496.67573642730713
678,431.17571437358856
679,495.52278143167496
680,461.19584023952484
681,417.8592670559883
682,527.5343494415283
683,650.1718356609344
684,504.2854167819023
685,358.8311150074005
686,447.3147010207176
687,543.2056956887245
688,530.7026658654213
689,470.68615531921387
690,525.4351441860199
691,502.7832099199295
692,422.7478345632553
693,420.7412918806076
694,404.49317955970764
695,463.35650396347046
696,447.4575623869896
697,549.419187784195
698,582.7106263041496
699,492.891478061676
700,515.5408765673637
701,491.6483280658722
702,491.74821650981903
703,430.71382361650467
704,548.429869890213
705,438.51749205589294
706,540.5543681979179
707,364.693017244339
708,408.79221004247665
709,425.34214746952057
710,438.1498020887375
711,570.1363224387169
712,458.0458126068115
713,561.8350749015808
714,503.5664632320404
715,399.060615003109
716,477.3869267106056
717,512.0497885346413
718,389.11939656734467
719,366.28628104925156
720,514.234092593193
721,524.4724207520485
722,397.492540538311
723,480.2482081055641
724,371.5017127394676
725,511.61789882183075
726,452.0672254562378
727,446.74060809612274
728,580.2372499704361
729,565.2847640514374
730,460.2979672551155
731,525.1679999232292
732,483.2025720477104
733,307.89279305934906
734,590.5249040722847
735,426.57449650764465
736,478.1267874240875
737,428.37927490472794
738,518.1529302597046
739,506.4786846637726
740,502.069280564785
741,486.33254450559616
742,575.4952689409256
743,435.9576323032379
744,429.2857029438019
745,393.0625004172325
746,409.8821195960045
747,408.6668811440468
748,502.11611008644104
749,611.6781214475632
750,481.00442814826965
751,493.3419865965843
752,369.3779238462448
753,422.87461882829666
754,459.72588086128235
755,597.8732469677925
756,208.36740517616272
757,479.4461576938629
758,575.7745026946068
759,423.39393174648285
760,500.16789799928665
761,344.4680206775665
762,359.0903502702713
763,552.6488855481148
764,455.4184215068817
765,462.1676912307739
766,614.3888580799103
767,468.15687787532806
768,373.8935254216194
769,411.76503628492355
770,418.89047664403915
771,560.103556573391
772,267.27695429325104
773,389.77250254154205
774,400.2331789135933
775,543.0996836423874
776,383.88587015867233
777,435.08864748477936
778,339.24790382385254
779,266.21339017152786
780,409.57375663518906
781,441.8544764518738
782,519.1278760433197
783,490.2876039147377
784,494.9019408226013
785,318.48181676864624
786,367.1507838368416
787,437.3246568441391
788,516.1610668897629
789,351.5336809158325
790,452.7780413031578
791,431.5019573569298
792,510.57843774557114
793,516.0251451730728
794,551.9928554296494
795,461.42749804258347
796,465.27430659532547
797,403.0242858529091
798,330.1380681991577
799,501.6483274102211
800,445.0962273478508
801,522.2638869285583
802,416.8228371143341
803,479.244621694088
804,449.5417369604111
805,495.78525602817535
806,482.72857362031937
807,477.03974878787994
808,550.8663291931152
809,351.0663403868675
810,600.2621604800224
811,425.57508647441864
812,610.7879689335823
813,461.7275611758232
814,499.843641102314
815,562.8538354039192
816,421.19338726997375
817,595.3870013952255
818,383.8336154818535
819,334.0734964609146
820,608.3188583850861
821,460.5985226035118
822,460.4520343542099
823,411.4722434282303
824,516.3079226016998
825,435.9886285662651
826,398.9398874640465
827,341.2585623264313
828,544.2948316335678
829,496.5186439752579
